--- Starting Data Preparation ---
Quickly scanning file to count rows...
File has 2357649 rows. Loading a random sample of 500000 rows.
Dataset loaded. Final shape: (500000, 9)
Dataset Columns: Index(['original_dataset', 'fwd_iat_mean', 'fwd_iat_std', 'bwd_iat_mean',
       'protocol', 'attack_category', 'duration', 'is_attack', 'bwd_iat_std'],
      dtype='object')
Features and labels extracted.
Data split into training and testing sets.
X_train shape: (400000, 5)
X_test shape: (100000, 5)
Features scaled.
Labels transformed.
Data preparation complete. Time elapsed: 4.26 seconds.

--- Starting Quantum Setup ---
Initializing lightning.qubit device with 5 qubits for multi-core performance.
Quantum device initialized.

--- Initializing Training ---
Training for 1 epoch (4000 iterations for a training set of size 400000).
Validation set created with 500 data points.

Class weights computed for handling imbalance: {tensor(-1, requires_grad=False): np.float64(0.703356063456784), tensor(1, requires_grad=False): np.float64(1.729370768445901)}
Parameters initialized. Starting training for 4000 iterations with batch size 100.
Iter:   900 | Batch Cost: 0.9277037 | Batch Acc: 0.4300000
Iter:   910 | Batch Cost: 1.0046692 | Batch Acc: 0.4600000
Iter:   920 | Batch Cost: 1.0016973 | Batch Acc: 0.4200000
Iter:   930 | Batch Cost: 0.9469640 | Batch Acc: 0.4300000
Iter:   940 | Batch Cost: 0.9122831 | Batch Acc: 0.4700000
Iter:   950 | Batch Cost: 1.0515798 | Batch Acc: 0.4000000
Iter:   960 | Batch Cost: 1.0339462 | Batch Acc: 0.3000000
Iter:   970 | Batch Cost: 0.8920794 | Batch Acc: 0.7200000
Iter:   980 | Batch Cost: 1.0606828 | Batch Acc: 0.2800000
Iter:   990 | Batch Cost: 1.0379779 | Batch Acc: 0.4100000
Iter:  1000 | Batch Cost: 0.9399925 | Batch Acc: 0.6500000
Iter:  1010 | Batch Cost: 0.9566769 | Batch Acc: 0.3600000
Iter:  1020 | Batch Cost: 0.9536507 | Batch Acc: 0.4300000
Iter:  1030 | Batch Cost: 1.0112127 | Batch Acc: 0.4700000
Iter:  1040 | Batch Cost: 1.0021971 | Batch Acc: 0.3700000
Iter:  1050 | Batch Cost: 0.9439981 | Batch Acc: 0.4600000
Iter:  1060 | Batch Cost: 0.9026184 | Batch Acc: 0.7500000
Iter:  1070 | Batch Cost: 1.1313896 | Batch Acc: 0.2600000
Iter:  1080 | Batch Cost: 0.8558199 | Batch Acc: 0.6800000
Iter:  1090 | Batch Cost: 1.1783204 | Batch Acc: 0.4200000
Iter:  1100 | Batch Cost: 0.9384897 | Batch Acc: 0.7000000
Iter:  1110 | Batch Cost: 0.8912475 | Batch Acc: 0.7400000
Iter:  1120 | Batch Cost: 1.0402429 | Batch Acc: 0.4100000
Iter:  1130 | Batch Cost: 1.0224469 | Batch Acc: 0.3600000
Iter:  1140 | Batch Cost: 0.9127771 | Batch Acc: 0.3800000
Iter:  1150 | Batch Cost: 0.9176383 | Batch Acc: 0.7400000
Iter:  1160 | Batch Cost: 0.9702579 | Batch Acc: 0.4400000
Iter:  1170 | Batch Cost: 0.9806703 | Batch Acc: 0.4100000
Iter:  1180 | Batch Cost: 0.9179568 | Batch Acc: 0.4400000
Iter:  1190 | Batch Cost: 0.9542982 | Batch Acc: 0.4000000
Iter:  1200 | Batch Cost: 0.9089372 | Batch Acc: 0.4300000
Iter:  1210 | Batch Cost: 0.8557665 | Batch Acc: 0.4300000
Iter:  1220 | Batch Cost: 0.9727137 | Batch Acc: 0.3600000
Iter:  1230 | Batch Cost: 1.0961742 | Batch Acc: 0.4000000
Iter:  1240 | Batch Cost: 0.8768759 | Batch Acc: 0.6900000
Iter:  1250 | Batch Cost: 0.9303088 | Batch Acc: 0.7200000
Iter:  1260 | Batch Cost: 0.9460780 | Batch Acc: 0.4400000
Iter:  1270 | Batch Cost: 1.0515528 | Batch Acc: 0.3600000
Iter:  1280 | Batch Cost: 0.9131521 | Batch Acc: 0.4900000
