--- Starting Data Preparation ---
Quickly scanning file to count rows...
File has 7042764 rows. Loading a random sample of 500000 rows.
Dataset loaded. Final shape: (500000, 9)
Features and labels extracted.
Data split into training and testing sets.
X_train shape: (400000, 8)
X_test shape: (100000, 8)
Features scaled.
Labels transformed.
Data preparation complete. Time elapsed: 50.06 seconds.

--- Starting Quantum Setup ---
Initializing lightning.qubit device with 8 qubits for multi-core performance.
Quantum device initialized.

--- Initializing Training ---
Training for 1 epoch (4000 iterations for a training set of size 400000).
Validation set created with 500 data points.

Class weights computed for handling imbalance: {tensor(-1, requires_grad=False): np.float64(309.59752321981426), tensor(1, requires_grad=False): np.float64(0.5008088062220486)}
Parameters initialized. Starting training for 4000 iterations with batch size 100.
Iter:  2100 | Batch Cost: 0.8804581 | Batch Acc: 0.9900000
Iter:  2110 | Batch Cost: 1.3977110 | Batch Acc: 0.0000000
Iter:  2120 | Batch Cost: 1.7159276 | Batch Acc: 0.0000000
Iter:  2130 | Batch Cost: 1.1460511 | Batch Acc: 0.0000000
Iter:  2140 | Batch Cost: 0.3135673 | Batch Acc: 1.0000000
Iter:  2150 | Batch Cost: 1.3213386 | Batch Acc: 0.0000000
Iter:  2160 | Batch Cost: 1.1338518 | Batch Acc: 0.0000000
Iter:  2170 | Batch Cost: 1.8360903 | Batch Acc: 0.0100000
Iter:  2180 | Batch Cost: 1.7514761 | Batch Acc: 0.0100000
Iter:  2190 | Batch Cost: 1.2163656 | Batch Acc: 0.0000000
Iter:  2200 | Batch Cost: 0.8338973 | Batch Acc: 0.9900000
Iter:  2210 | Batch Cost: 1.7960187 | Batch Acc: 0.0000000
Iter:  2220 | Batch Cost: 1.0696910 | Batch Acc: 0.0100000
Iter:  2230 | Batch Cost: 1.1618620 | Batch Acc: 0.0000000
Iter:  2240 | Batch Cost: 0.7342585 | Batch Acc: 1.0000000
Iter:  2250 | Batch Cost: 1.9762603 | Batch Acc: 0.0000000
Iter:  2260 | Batch Cost: 2.0298165 | Batch Acc: 0.0000000
Iter:  2270 | Batch Cost: 1.6484891 | Batch Acc: 0.0000000
Iter:  2280 | Batch Cost: 2.0866369 | Batch Acc: 0.0000000
Iter:  2290 | Batch Cost: 0.5303510 | Batch Acc: 1.0000000
Iter:  2300 | Batch Cost: 1.2827760 | Batch Acc: 0.0100000
Iter:  2310 | Batch Cost: 1.1805446 | Batch Acc: 0.0000000
Iter:  2320 | Batch Cost: 0.3505223 | Batch Acc: 1.0000000
Iter:  2330 | Batch Cost: 1.0797094 | Batch Acc: 0.0000000
Iter:  2340 | Batch Cost: 1.4583746 | Batch Acc: 0.0000000
Iter:  2350 | Batch Cost: 0.7873220 | Batch Acc: 1.0000000
Iter:  2360 | Batch Cost: 1.0888785 | Batch Acc: 0.0000000
Iter:  2370 | Batch Cost: 0.6973755 | Batch Acc: 1.0000000
Iter:  2380 | Batch Cost: 0.5373453 | Batch Acc: 1.0000000
Iter:  2390 | Batch Cost: 0.8860950 | Batch Acc: 1.0000000
Iter:  2400 | Batch Cost: 0.9884400 | Batch Acc: 0.9900000
Iter:  2410 | Batch Cost: 0.6266982 | Batch Acc: 1.0000000
Iter:  2420 | Batch Cost: 0.7843767 | Batch Acc: 1.0000000
Iter:  2430 | Batch Cost: 0.8516742 | Batch Acc: 1.0000000
Iter:  2440 | Batch Cost: 1.9405208 | Batch Acc: 0.0000000
